label,transversal,sagittal,vertikal
A,-6.05184,79.0008,-53.9206
Ai1 (left),-12.1371,78.0423,-101.899
Ai1 (right),-8.64928,78.5032,-102.895
Ant (left),-51.1457,26.3486,-84.3108
Ant (right),40.1723,35.0707,-84.6822
As1 (left),-9.34362,74.3222,-58.9634
As1 (right),-3.81236,74.6756,-58.3155
B,-10.7386,80.3837,-108.917
Ba,-1.85795,2.92871,-23.9793
Cond (left),-50.3548,16.9961,-4.976
Cond (right),43.6902,21.3836,-4.91166
Ii1 (left),-13.4921,87.4983,-85.1426
Ii1 (right),-8.42174,87.4569,-85.1739
Is1 (left),-11.1874,80.6834,-79.814
Is1 (right),-2.8113,80.347,-79.6813
J (left),-28.302,61.9095,-50.6285
J (right),16.1957,61.9095,-49.2953
L6a (left),-35.6171,55.8105,-94.6506
L6a (right),19.6955,59.4568,-96.0137
L6c (left),-31.9296,64.2546,-76.9884
L6c (right),14.6252,67.9009,-77.859
Me,-9.20766,72.0501,-123.999
ML,-10.6083,84.7707,-94.9865
MU,-7.26854,80.6517,-68.1545
N,-6.34747,100.665,0.475684
Or (left),-42.4205,73.6229,-23.8302
Or (right),30.8686,75.9101,-24.52
Po (left),-51.6147,4.03758,-0.614655
Po (right),48.087,8.44065,-2.40498
Pog,-11.0375,80.2753,-122.336
S,-5.62977,33.8289,8.88653
Spa,-6.44281,86.3818,-50.1558
Spp,-4.66008,40.2454,-38.1191
T1 (left),-53.3961,7.1477,-53.4905
T1 (right),44.1618,14.6794,-59.1065
T2 (left),-53.059,18.5813,-79.5214
T2 (right),44.0539,22.7297,-77.955
U6a (left),-31.4686,56.3031,-49.2638
U6a (right),19.6955,58.1198,-50.1344
U6c (left),-32.3607,54.5345,-70.3506
U6c (right),19.6955,55.8681,-69.626
