name,X,Y
image1_0,974.23,969.53
image1_1,978.57,967.94
image1_2,980.4,965.34
image1_3,974.4,971.61
image1_4,976.62,972.78
image1_5,977.8,962.69
image1_6,978.56,960.25
image1_7,977.92,964.17
image1_8,983.47,965.23
image1_9,995.79,965.31
image1_10,996.6,970.4
image1_11,996.9,956.05
image1_12,1000.29,966.32
image1_13,1011.81,968.08
image1_14,1005.9,969.68
image1_15,1007.19,969.75
image1_16,1002.61,958.31
image1_17,993.82,951.97
image1_18,1000.88,964.16
image1_19,993.04,965.28
image2_0,986.62,905.65
image2_1,983.98,902.09
image2_2,979.18,905.49
image2_3,973.37,899.87
image2_4,959.77,890.18
image2_5,969.58,897.53
image2_6,967.23,891.71
image2_7,970.64,889.01
image2_8,964.22,890.42
image2_9,964.88,895.07
image2_10,964.69,899.16
image2_11,962.51,901.11
image2_12,966.99,892.63
image2_13,964.45,897.68
image2_14,974.66,886.96
image2_15,976.9,892.92
image2_16,983.59,881.2
image2_17,978.25,881.73
image2_18,979.56,884.37
image2_19,991.46,886.9
image3_0,934.07,987.82
image3_1,922.12,988.61
image3_2,933.53,989.46
image3_3,932.77,982.0
image3_4,929.9,981.76
image3_5,928.53,976.46
image3_6,930.19,995.88
image3_7,940.9,991.07
image3_8,932.91,995.02
image3_9,933.24,994.16
image3_10,923.67,990.26
image3_11,906.21,998.17
image3_12,907.18,995.05
image3_13,902.39,997.19
image3_14,907.74,1003.51
image3_15,906.99,1001.88
image3_16,905.82,996.7
image3_17,909.6,999.24
image3_18,907.28,999.3
image3_19,906.34,997.54
image4_0,973.68,967.83
image4_1,966.04,956.17
image4_2,971.11,956.43
image4_3,974.82,958.19
image4_4,967.26,954.5
image4_5,962.05,967.51
image4_6,964.87,956.66
image4_7,963.09,963.68
image4_8,954.64,958.71
image4_9,962.68,957.05
image4_10,964.82,954.18
image4_11,971.09,954.81
image4_12,966.43,941.56
image4_13,969.28,942.96
image4_14,976.64,950.12
image4_15,970.06,945.78
image4_16,966.08,937.4
image4_17,970.37,934.01
image4_18,971.12,937.6
image4_19,960.88,932.5
image5_0,993.43,899.38
image5_1,985.39,901.54
image5_2,985.38,899.83
image5_3,980.72,893.42
image5_4,990.03,891.34
image5_5,987.81,885.85
image5_6,986.28,900.36
image5_7,979.7,904.05
image5_8,980.57,908.82
image5_9,978.54,905.71
image5_10,990.48,911.88
image5_11,982.72,915.02
image5_12,982.64,914.69
image5_13,983.86,913.48
image5_14,982.92,907.92
image5_15,994.53,914.65
image5_16,998.44,921.25
image5_17,1001.07,925.55
image5_18,997.84,921.34
image5_19,1000.76,921.62
